Species	Individual ID	DBH _1998	DBH_2000	DBH_2002	DBH_2004	DBH_2006	DBH_2008	DBH_2010	DBH_2012	DBH_2014	DBH_2016	DBH_2018	DBH_2020	MAI_1998-2000	MAI_2000-2002	MAI_2002-2004	MAI_2004-2006	MAI_2006-2008	MAI_2008-2010	MAI_2010-2012	MAI_2012-2014	MAI_2014-2016	MAI_2016-2018	MAI_2018-2000	Average MAI (cm)	Average (cm)
Shorea laevis	1	-	10.573 	12.166 	12.293 	13.057 	13.726 	14.204 	14.490 	15.064 	15.669 	15.987 	16.592 		0.796 	0.064 	0.382 	0.334 	0.239 	0.143 	0.287 	0.303 	0.159 	0.303 	0.301 	0.378 
Shorea laevis	2	-	15.478 	15.860 	16.306 	17.102 	18.089 	19.236 	20.446 	21.911 	22.102 	23.344 	24.586 		0.191 	0.223 	0.398 	0.494 	0.573 	0.605 	0.732 	0.096 	0.621 	0.621 	0.455 	
Shorea leprosula	1	68.057 	70.255 	70.828 	72.866 	75.032 	78.726 	79.809 						1.099 	0.287 	1.019 	1.083 	1.847 	0.541 						0.979 	1.212 
Shorea leprosula	2	71.242 	72.484 	72.866 	73.790 	73.981 	73.981 	74.363 	74.841 	75.223 	75.287 			0.621 	0.191 	0.462 	0.096 	0.000 	0.191 	0.239 	0.191 	0.032 			0.225 	
Shorea leprosula	3	53.408 	55.892 	56.433 	57.580 	58.662 	60.732 	63.057 	65.287 	66.975 	67.325 	69.618 	70.255 	1.242 	0.271 	0.573 	0.541 	1.035 	1.162 	1.115 	0.844 	0.175 	1.146 	0.318 	0.766 	
Shorea leprosula	4	30.701 	34.108 	35.669 	38.217 	41.274 	44.013 	46.879 	50.064 	52.357 	60.000 	62.803 	63.185 	1.704 	0.780 	1.274 	1.529 	1.369 	1.433 	1.592 	1.146 	3.822 	1.401 	0.191 	1.477 	
Shorea leprosula	5	46.975 	50.573 	52.611 	55.637 	59.554 	62.006 	64.777 	68.471 	69.936 	70.191 	72.357 	72.548 	1.799 	1.019 	1.513 	1.959 	1.226 	1.385 	1.847 	0.732 	0.127 	1.083 	0.096 	1.162 	
Shorea leprosula	6	12.580 	15.987 	19.682 	23.185 	27.389 	31.338 	35.127 	39.618 	42.293 	44.904 	47.771 	49.490 	1.704 	1.847 	1.752 	2.102 	1.975 	1.895 	2.245 	1.338 	1.306 	1.433 	0.860 	1.678 	
Shorea leprosula	7	-	-	-	16.242 	19.490 	23.662 	28.121 	32.134 	35.032 	35.191 	41.592 	45.796 				1.624 	2.086 	2.229 	2.006 	1.449 	0.080 	3.201 	2.102 	1.847 	
Shorea leprosula	8	56.975 	60.637 	65.032 	68.312 	72.707 	76.274 	81.401 						1.831 	2.197 	1.640 	2.197 	1.783 	2.564 						2.036 	
Shorea leprosula	9	68.057 	70.255 	70.828 	72.866 	75.032 	78.726 	79.809 						1.099 	0.287 	1.019 	1.083 	1.847 	0.541 						0.979 	
Shorea leprosula	10	71.242 	72.484 	72.866 	73.790 	73.981 	73.981 	74.363 	74.841 	75.223 	75.287 			0.621 	0.191 	0.462 	0.096 	0.000 	0.191 	0.239 	0.191 	0.032 			0.225 	
Shorea leprosula	11	53.408 	55.892 	56.433 	57.580 	58.662 	60.732 	63.057 	65.287 	66.975 	67.325 	69.618 	70.255 	1.242 	0.271 	0.573 	0.541 	1.035 	1.162 	1.115 	0.844 	0.175 	1.146 	0.318 	0.766 	
Shorea leprosula	12	30.701 	34.108 	35.669 	38.217 	41.274 	44.013 	46.879 	50.064 	52.357 	60.000 	62.803 	63.185 	1.704 	0.780 	1.274 	1.529 	1.369 	1.433 	1.592 	1.146 	3.822 	1.401 	0.191 	1.477 	
Shorea leprosula	13	46.975 	50.573 	52.611 	55.637 	59.554 	62.006 	64.777 	68.471 	69.936 	70.191 	72.357 	72.548 	1.799 	1.019 	1.513 	1.959 	1.226 	1.385 	1.847 	0.732 	0.127 	1.083 	0.096 	1.162 	
Shorea leprosula	14	-	-	-	16.242 	19.490 	23.662 	28.121 	32.134 	35.032 	35.191 	41.592 	45.796 				1.624 	2.086 	2.229 	2.006 	1.449 	0.080 	3.201 	2.102 	1.847 	
Shorea leprosula	15	-	-	-	-	12.516 	16.178 	20.255 	23.280 	25.159 	27.197 	28.726 	31.847 					1.831 	2.038 	1.513 	0.939 	1.019 	0.764 	1.561 	1.381 	
Shorea leprosula	16	56.975 	60.637 	65.032 	68.312 	72.707 	76.274 	81.401 						1.831 	2.197 	1.640 	2.197 	1.783 	2.564 						2.036 	
Shorea leprosula	17	70.510 	74.363 	75.796 	78.344 	79.618 	81.529 	83.758 						1.927 	0.717 	1.274 	0.637 	0.955 	1.115 						1.104 	
Shorea leprosula	18	62.070 	64.713 	65.287 	66.752 	67.516 	68.567 	69.268 	71.815 	73.248 	74.809 	74.841 	76.624 	1.322 	0.287 	0.732 	0.382 	0.525 	0.350 	1.274 	0.717 	0.780 	0.016 	0.892 	0.662 	
