Species	Individual ID	Branch ID	0	1_1	1_2	2_1	2_1	3_1	3_2	Distance from ground to 0
S. laevis	S1	1_1	39.94 (129)							1.59
S. laevis	S1	1_2	49.38 (256)	18.92 (252)						
S. laevis	S1	2_1	47.60 (191)	47.14 (220)	56.58 (363)					
S. laevis	S1	2_2	48.40 (183)	47.94 (212)	57.38 (355)	17 (122)				
S. laevis	S1	3_1	43.15 (187)	42.69 (216)	52.13 (359)	34.35 (234)	35.15 (226)			
S. laevis	S1	3_2	43.45 (187)	42.99 (216)	52.43 (359)	34.65 (234)	35.45 (226)	6.10 (66)		
S. laevis	S1	4	49.95 (207)	49.49 (236)	58.93 (379)	41.15 (254)	41.95 (246)	16.70 (124)	17.00 (126)	
S. laevis	S2	1_1	34.20 (81)							1.20 
S. laevis	S2	1_2	34.35 (81)	18.35 (36)						
S. laevis	S2	2_1	34.40 (107)	26.60 (76)	26.75 (76)					
S. laevis	S2	2_2	34.70 (106)	26.90 (75)	27.05 (75)	6.90 (27)				
S. laevis	S2	3_1	35.65 (93)	27.85 (62)	28.00 (62)	21.45 (74)	21.75 (73)			
S. laevis	S2	3_2	35.95 (93)	28.15 (62)	28.30 (62)	21.75 (74)	22.05 (73)	5.10 (20)		
S. laevis	S2	4	35.40 (98)	27.60 (67)	27.75 (67)	21.20 (79)	21.50 (78)	15.25 (57)	15.55 (57)	
S. leprosula	F1	1_1	33.85 (41)							1.01
S. leprosula	F1	1_2	38.70 (43)	14.45 (17)						
S. leprosula	F1	2_1	35.25 (53)	23.70 (32)	28.55 (34)					
S. leprosula	F1	2_2	35.60 (56)	24.05 (35)	28.90 (37)	5.85 (13)				
S. leprosula	F1	3_1	40.95 (52)	29.40 (31)	34.25 (33)	22.00 (31)	22.35 (34)			
S. leprosula	F1	3_2	41.05 (49)	29.50 (28)	34.35 (30)	22.10 (28)	22.45 (31)	2.90 (7)		
S. leprosula	F1	4	46.60 (50)	35.05 (29)	39.90 (31)	27.65 (29)	28.00 (32)	20.55 (20)	20.65 (17)	
S. leprosula	F2	1_1	30.20 (25)							1.97
S. leprosula	F2	1_2	32.60 (18)	14.00 (29)						
S. leprosula	F2	2_1	38.20 (13)	21.80 (24)	24.20 (13)					
S. leprosula	F2	2_2	38.20 (15)	21.80 (26)	24.20 (15)	4.80 (6)				
S. leprosula	F2	3_1	38.95 (17)	22.55 (28)	24.95 (17)	26.35 (12)	26.35 (14)			
S. leprosula	F2	3_2	38.45 (18)	22.05 (29)	24.45 (18)	25.85 (13)	25.85 (15)	6.10 (7)		
S. leprosula	F2	4	38.10 (23)	21.70 (34)	24.10 (23)	25.50 (18)	25.50 (20)	18.65 (18)	18.15 (19)	
