Sequencer	Species	IndividualID-branchID-replicateID	Method		Total sequences (Gbp)	Coverage	Number of reads (million)	Average read length (bp)
Hiseq 2500	S. laevis	S1-0-1	Paired end, whole genome sequence		29.13	83.96 	233.06	125
Hiseq 2500	S. laevis	S1-1-1-1	Paired end, whole genome sequence		28.49	82.10 	227.91	125
Hiseq 2500	S. laevis	S1-1-4-1	Paired end, whole genome sequence		30.39	87.57 	243.10	125
Hiseq 2500	S. laevis	S1-2-3-1	Paired end, whole genome sequence		32.91	94.84 	263.28	125
Hiseq 2500	S. laevis	S1-2-4-1	Paired end, whole genome sequence		26.87	77.44 	214.98	125
Hiseq 2500	S. laevis	S1-3-3-1	Paired end, whole genome sequence		28.58	82.35 	228.63	125
Hiseq 2500	S. laevis	S1-3-4-1	Paired end, whole genome sequence		30.86	88.92 	246.84	125
Hiseq 2500	S. laevis	S1-4-4-1	Paired end, whole genome sequence		28.79	82.95 	230.27	125
HiseqX	S. laevis	S1-0-2	Paired end, whole genome sequence		16.19	46.66 	107.23	151
HiseqX	S. laevis	S1-1-1-2	Paired end, whole genome sequence		16.82	48.47 	111.39	151
HiseqX	S. laevis	S1-1-4-2	Paired end, whole genome sequence		15.58	44.90 	103.15	151
HiseqX	S. laevis	S1-2-3-2	Paired end, whole genome sequence		15.60	44.96 	103.29	151
HiseqX	S. laevis	S1-2-4-2	Paired end, whole genome sequence		14.55	41.93 	96.37	151
HiseqX	S. laevis	S1-3-3-2	Paired end, whole genome sequence		13.15	37.90 	87.06	151
HiseqX	S. laevis	S1-3-4-2	Paired end, whole genome sequence		15.43	44.47 	102.19	151
HiseqX	S. laevis	S1-4-4-2	Paired end, whole genome sequence		13.38	38.56 	88.64	151
HiseqX	S. laevis	S2-0-1	Paired end, whole genome sequence		39.77	114.61 	263.30	151
HiseqX	S. laevis	S2-1-1-1	Paired end, whole genome sequence		43.60	125.65 	288.70	151
HiseqX	S. laevis	S2-1-4-1	Paired end, whole genome sequence		30.14	86.86 	199.60	151
HiseqX	S. laevis	S2-2-3-1	Paired end, whole genome sequence		31.76	91.53 	210.30	151
HiseqX	S. laevis	S2-2-4-1	Paired end, whole genome sequence		31.68	91.30 	209.80	151
HiseqX	S. laevis	S2-3-3-1	Paired end, whole genome sequence		38.32	110.43 	253.80	151
HiseqX	S. laevis	S2-3-4-1	Paired end, whole genome sequence		29.53	85.10 	195.57	151
HiseqX	S. laevis	S2-4-4-1	Paired end, whole genome sequence		30.82	88.82 	204.10	151
HiseqX	S. laevis	S2-0-2	Paired end, whole genome sequence		17.96	51.76 	119.00	151
HiseqX	S. laevis	S2-1-1-2	Paired end, whole genome sequence		20.01	57.67 	132.50	151
HiseqX	S. laevis	S2-1-4-2	Paired end, whole genome sequence		14.81	42.68 	98.07	151
HiseqX	S. laevis	S2-2-3-2	Paired end, whole genome sequence		17.34	49.97 	114.80	151
HiseqX	S. laevis	S2-2-4-2	Paired end, whole genome sequence		14.62	42.13 	96.80	151
HiseqX	S. laevis	S2-3-3-2	Paired end, whole genome sequence		19.50	56.20 	129.10	151
HiseqX	S. laevis	S2-3-4-2	Paired end, whole genome sequence		16.23	46.77 	107.46	151
HiseqX	S. laevis	S2-4-4-2	Paired end, whole genome sequence		16.20	46.69 	107.30	151
PacBio CLR	S. laevis	S1_PacBio	Sequel, whole genome		55.38	159.60 	3.85	9184
Hiseq 2500	S. leprosula	F1-0-1	Paired end, whole genome sequence		31.89	84.81 	212.62	150
Hiseq 2500	S. leprosula	F1-1-1-1	Paired end, whole genome sequence		37.93	100.88 	252.89	150
Hiseq 2500	S. leprosula	F1-1-4-1	Paired end, whole genome sequence		37.65	100.13 	251.01	150
Hiseq 2500	S. leprosula	F1-2-3-1	Paired end, whole genome sequence		34.27	91.14 	228.44	150
Hiseq 2500	S. leprosula	F1-2-4-1	Paired end, whole genome sequence		33.94	90.27 	226.25	150
Hiseq 2500	S. leprosula	F1-3-3-1	Paired end, whole genome sequence		34.19	90.93 	227.90	150
Hiseq 2500	S. leprosula	F1-3-4-1	Paired end, whole genome sequence		37.27	99.12 	248.46	150
Hiseq 2500	S. leprosula	F1-4-4-1	Paired end, whole genome sequence		38.25	101.73 	254.98	150
HiseqX	S. leprosula	F1-0-2	Paired end, whole genome sequence		15.79	41.99 	104.58	151
HiseqX	S. leprosula	F1-1-1-2	Paired end, whole genome sequence		14.34	38.14 	94.94	151
HiseqX	S. leprosula	F1-1-4-2	Paired end, whole genome sequence		14.59	38.80 	96.65	151
HiseqX	S. leprosula	F1-2-3-2	Paired end, whole genome sequence		16.49	43.86 	109.23	151
HiseqX	S. leprosula	F1-2-4-2	Paired end, whole genome sequence		14.69	39.07 	97.29	151
HiseqX	S. leprosula	F1-3-3-2	Paired end, whole genome sequence		16.08	42.77 	106.49	151
HiseqX	S. leprosula	F1-3-4-2	Paired end, whole genome sequence		17.31	46.04 	114.61	151
HiseqX	S. leprosula	F1-4-4-2	Paired end, whole genome sequence		17.59	46.78 	116.51	151
HiseqX	S. leprosula	F2-0-1	Paired end, whole genome sequence		19.09	50.77 	126.43	151
HiseqX	S. leprosula	F2-1-1-1	Paired end, whole genome sequence		19.25	51.20 	127.51	151
HiseqX	S. leprosula	F2-1-4-1	Paired end, whole genome sequence		14.20	37.77 	94.04	151
HiseqX	S. leprosula	F2-2-3-1	Paired end, whole genome sequence		18.09	48.11 	119.82	151
HiseqX	S. leprosula	F2-2-4-1	Paired end, whole genome sequence		14.14	37.61 	93.65	151
HiseqX	S. leprosula	F2-3-3-1	Paired end, whole genome sequence		16.71	44.44 	110.66	151
HiseqX	S. leprosula	F2-3-4-1	Paired end, whole genome sequence		16.43	43.70 	108.81	151
HiseqX	S. leprosula	F2-4-4-1	Paired end, whole genome sequence		14.65	38.96 	97.00	151
HiseqX	S. leprosula	F2-0-1	Paired end, whole genome sequence		22.34	59.41 	147.96	151
HiseqX	S. leprosula	F2-1-1-1	Paired end, whole genome sequence		18.71	49.76 	123.88	151
HiseqX	S. leprosula	F2-1-4-1	Paired end, whole genome sequence		15.73	41.84 	104.15	151
HiseqX	S. leprosula	F2-2-3-1	Paired end, whole genome sequence		16.06	42.71 	106.36	151
HiseqX	S. leprosula	F2-2-4-1	Paired end, whole genome sequence		15.15	40.29 	100.34	151
HiseqX	S. leprosula	F2-3-3-1	Paired end, whole genome sequence		16.66	44.31 	110.32	151
HiseqX	S. leprosula	F2-3-4-1	Paired end, whole genome sequence		14.46	38.46 	95.75	151
HiseqX	S. leprosula	F2-4-4-1	Paired end, whole genome sequence		15.55	41.36 	102.95	151
PacBio HiFi	S. leprosula	F1_PacBio	Sequel II, Hifi read, whole genome sequence		12.2	32.45 	0.96	12589
