Species	Individual ID	Replicate ID	SNV caller and threshold	Numbe of called SNVs	Merged SNVs	Candidate SNVs	Final set of SNVs
S. laevis	S1	1	GATK	776,745	5,702	1,003	728
S. laevis	S1	2	GATK	751,067			
S. laevis	S1	1	bcftools T40	2,322,977	1,507		
S. laevis	S1	2	bcftools T40	523,200			
S. laevis	S1	1	bcftools T30	481,239	3,309		
S. laevis	S1	2	bcftools T30	522,752			
S. laevis	S1	1	bcftools T20	499,477	3,346		
S. laevis	S1	2	bcftools T20	550,570			
S. laevis	S2	1	GATK	2,758,379	19,163	923	234
S. laevis	S2	2	GATK	2,363,371			
S. laevis	S2	1	bcftools T40	1,499,906	14,309		
S. laevis	S2	2	bcftools T40	1,679,963			
S. laevis	S2	1	bcftools T30	1,636,046	15,101		
S. laevis	S2	2	bcftools T30	1,839,489			
S. laevis	S2	1	bcftools T20	1,781,470	16,382		
S. laevis	S2	2	bcftools T20	2,010,692			
S. leprosula	F1	1	GATK	2,088,324	10,659	301	106
S. leprosula	F1	2	GATK	1,688,325			
S. leprosula	F1	1	bcftools T40	2,535,658	5,278		
S. leprosula	F1	2	bcftools T40	1,313,470			
S. leprosula	F1	1	bcftools T30	1,457,579	6,190		
S. leprosula	F1	2	bcftools T30	1,315,859			
S. leprosula	F1	1	bcftools T20	1,457,579	6,206		
S. leprosula	F1	2	bcftools T20	1,360,589			
S. leprosula	F2	1	GATK	4,978,324	69,405	1,694	68
S. leprosula	F2	2	GATK	5,081,665			
S. leprosula	F2	1	bcftools T40	2,876,942	32,853		
S. leprosula	F2	2	bcftools T40	2,907,731			
S. leprosula	F2	1	bcftools T30	3,268,986	38,319		
S. leprosula	F2	2	bcftools T30	3,324,388			
S. leprosula	F2	1	bcftools T20	3,606,717	42,629		
S. leprosula	F2	2	bcftools T20	3,676,575			
