Single-base-substitution (SBS) signature in human cancer	S. laevis (S1+S2)	S. leprosula (F1+F2)
SBS1	0.789 	0.592 
SBS2	0.223 	0.155 
SBS3	0.371 	0.389 
SBS4	0.203 	0.213 
SBS5	0.577 	0.558 
SBS6	0.823 	0.771 
SBS7a	0.338 	0.295 
SBS7b	0.427 	0.408 
SBS7c	0.105 	0.093 
SBS7d	0.141 	0.144 
SBS8	0.193 	0.206 
SBS9	0.236 	0.268 
SBS10a	0.064 	0.063 
SBS10b	0.464 	0.276 
SBS10c	0.220 	0.201 
SBS10d	0.073 	0.074 
SBS11	0.433 	0.399 
SBS12	0.161 	0.180 
SBS13	0.037 	0.033 
SBS14	0.175 	0.099 
SBS15	0.581 	0.690 
SBS16	0.135 	0.136 
SBS17a	0.076 	0.093 
SBS17b	0.019 	0.053 
SBS18	0.257 	0.247 
SBS19	0.416 	0.377 
SBS20	0.274 	0.222 
SBS21	0.134 	0.156 
SBS22	0.061 	0.077 
SBS23	0.453 	0.397 
SBS24	0.272 	0.317 
SBS25	0.422 	0.389 
SBS26	0.197 	0.193 
SBS27	0.120 	0.108 
SBS28	0.034 	0.044 
SBS29	0.263 	0.259 
SBS30	0.513 	0.475 
SBS31	0.380 	0.357 
SBS32	0.561 	0.485 
SBS33	0.106 	0.113 
SBS34	0.093 	0.071 
SBS35	0.235 	0.242 
SBS36	0.147 	0.128 
SBS37	0.208 	0.219 
SBS38	0.084 	0.110 
SBS39	0.272 	0.289 
SBS40	0.407 	0.402 
SBS41	0.228 	0.229 
SBS42	0.407 	0.347 
SBS43	0.050 	0.086 
SBS44	0.468 	0.437 
SBS45	0.098 	0.093 
SBS46	0.267 	0.290 
SBS47	0.160 	0.155 
SBS48	0.036 	0.005 
SBS49	0.066 	0.040 
SBS50	0.230 	0.233 
SBS51	0.211 	0.206 
SBS52	0.057 	0.052 
SBS53	0.140 	0.163 
SBS54	0.187 	0.175 
SBS55	0.068 	0.096 
SBS56	0.071 	0.065 
SBS57	0.231 	0.222 
SBS58	0.308 	0.288 
SBS59	0.059 	0.050 
SBS60	0.018 	0.023 
SBS84	0.377 	0.323 
SBS85	0.135 	0.146 
SBS86	0.214 	0.159 
SBS87	0.751 	0.607 
SBS88	0.113 	0.132 
SBS89	0.351 	0.354 
SBS90	0.070 	0.032 
SBS91	0.075 	0.056 
SBS92	0.447 	0.411 
SBS93	0.288 	0.254 
SBS94	0.438 	0.438 
