Data S2. List of genes with somatic SNVs.,,,,,,,,,,,,
Species,Individual ID,Contig,Position,Type,GeneID,TranscryptID,Protein,Species used for annotation,Identity,AGI code,,
S. laevis,S1,contig_10029,303371,missense_variant,g76,g76.t1,CARLK,ARATH,59.00%,AT5G45800,,
S. laevis,S1,contig_10239,106428,missense_variant,g576,g576.t1,GID1C,ARATH,82.16%,AT5G27320,,
S. laevis,S1,contig_1181,1973228,missense_variant,g4551,g4551.t1,C81D1,ARATH,57.92%,AT5G36220,,
S. laevis,S1,contig_12443,35100,missense_variant,g7102,g7102.t1,CKL2,ARATH,79.96%,AT1G72710,,
S. laevis,S1,contig_12456,43989,missense_variant,g7204,g7204.t1,TIM21,ARATH,56.38%,AT4G00026,,
S. laevis,S1,contig_12513,71472,missense_variant,g7402,g7402.t1,GOT1,ARATH,46.57%,AT3G03180,,
S. laevis,S1,contig_12744,106768,missense_variant,g8731,g8731.t1,GOGC5,ARATH,62.78%,AT1G79830,,
S. laevis,S1,contig_12814,8854,missense_variant,g8912,g8912.t1,IP5PA,ARATH,64.10%,AT5G04980,,
S. laevis,S1,contig_13340,8536,missense_variant,g10697,g10697.t1,PR5K,ARATH,49.12%,AT5G38280,,
S. laevis,S1,contig_1566,364354,missense_variant,g11672,g11672.t1,R13L1,ARATH,37.36%,AT3G14470,,
S. laevis,S1,contig_1709,138950,missense_variant,g12924,g12924.t1,,,,,,
S. laevis,S1,contig_1883,57762,missense_variant,g14546,g14546.t1,,,,,,
S. laevis,S1,contig_1892,893209,missense_variant,g14776,g14776.t1,,,,,,
S. laevis,S1,contig_1920,9233,missense_variant,g15082,g15082.t1,RITF1,ARATH,41.90%,AT2G12646,,
S. laevis,S1,contig_1958,568608,missense_variant,g15471,g15471.t1,NEP2,NEPGR,36.00%,,,
S. laevis,S1,contig_1967,202952,missense_variant,g15647,g15647.t1,PPR69,ARATH,56.58%,AT1G32415,,
S. laevis,S1,contig_2082,1146858,missense_variant,g17019,g17019.t1,REMO,SOLTU,71.14%,,,
S. laevis,S1,contig_2091,121167,missense_variant,g17100,g17100.t1,H4,SOYBN,100.00%,,,
S. laevis,S1,contig_2091,121168,missense_variant,g17100,g17100.t1,H4,SOYBN,100.00%,,,
S. laevis,S1,contig_2125,1210221,missense_variant,g17676,g17676.t1,HIBC8,ARATH,73.44%,AT1G06550,,
S. laevis,S1,contig_2152,175829,missense_variant,g18090,g18090.t1,SAC3B,ARATH,44.78%,AT3G06290,,
S. laevis,S1,contig_2219,406883,missense_variant,g18805,g18805.t1,CRN,ARATH,66.58%,AT5G13290,,
S. laevis,S1,contig_2398,759543,missense_variant,g21352,g21352.t1,Y4200,ARATH,25.55%,AT4G02000,,
S. laevis,S1,contig_2673,62347,missense_variant,g25017,g25017.t1,UBP13,ARATH,84.03%,AT3G11910,,
S. laevis,S1,contig_2893,229652,missense_variant,g26687,g26687.t1,GLGB2,PEA,81.29%,,,
S. laevis,S1,contig_2911,162658,missense_variant,g27130,g27130.t1,PME3,PHAVU,62.48%,,,
S. laevis,S1,contig_2948,42986,missense_variant,g27415,g27415.t1,NFD4,ARATH,23.69%,AT1G31470,,
S. laevis,S1,contig_2956,375396,missense_variant,g27556,g27556.t1,BAG6,ARATH,28.77%,AT2G46240,,
S. laevis,S1,contig_2993,367241,missense_variant,g28176,g28176.t1,NIPA6,ARATH,68.25%,AT2G21120,,
S. laevis,S1,contig_3059,8458,missense_variant,g28835,g28835.t1,GLR27,ARATH,52.02%,AT2G29120,,
S. laevis,S1,contig_3229,849016,missense_variant,g30545,g30545.t1,TET15,ARATH,39.77%,AT5G57810,,
